IdVenta,IdCliente,IdProducto,Cantidad,PrecioUnitario,Total,Fecha
1,1,2,2,6,12,24/06/2025 12:15
1,1,3,1,1,1,24/06/2025 12:15
2,32,14,3,2,6,24/06/2025 13:33
3,5,13,1,4,4,25/06/2025 06:36
3,5,9,1,2,2,25/06/2025 06:36
4,1,1,2,4,8,25/06/2025 09:03
5,32,7,2,5,10,25/06/2025 09:26
5,32,9,3,2,6,25/06/2025 09:26
5,32,7,1,5,5,25/06/2025 09:26
7,1,8,4,1,4,29/06/2025 00:16
9,1,2,3,6,18,29/06/2025 00:23
10,1,21,1,2,2,29/06/2025 14:51
11,1,15,2,4,8,07/07/2025 20:33
12,1,2,4,6,24,07/07/2025 20:58
12,1,3,2,1,2,07/07/2025 20:58
13,5,8,2,1,2,07/07/2025 20:59
13,5,9,1,2,2,07/07/2025 20:59
13,5,10,2,1,2,07/07/2025 20:59
14,5,2,4,6,24,07/07/2025 21:01
15,1,21,2,2,4,07/07/2025 21:07
16,1,8,5,1,5,08/07/2025 17:15
16,1,9,1,2,2,08/07/2025 17:15
17,8,4,2,5,10,08/07/2025 17:18
17,8,7,8,5,40,08/07/2025 17:18
18,15,6,2,6,12,08/07/2025 17:21
19,30,16,2,3,6,08/07/2025 17:25
20,21,1,2,4,8,08/07/2025 17:30
20,21,1,2,4,8,08/07/2025 17:30
21,1,2,2,6,12,08/07/2025 17:35
21,1,9,10,2,20,08/07/2025 17:35
22,32,9,5,2,10,08/07/2025 17:48
23,32,20,10,3,30,08/07/2025 17:48
24,32,17,4,3,12,08/07/2025 21:15
24,32,22,5,3,15,08/07/2025 21:15
25,32,11,4,3,12,08/07/2025 21:44
26,1,15,8,4,32,15/07/2025 21:26
27,1,21,2,2,4,15/07/2025 21:30
